"id","key","value","product_id"
"83","Основні характеристики: Форм-фактор","моноблок","1"
"84","Основні характеристики: Кількість SIM-карт","1 SIM + e-sim","1"
"85","Основні характеристики: Формат SIM-карти","e-sim, Nano","1"
"86","Основні характеристики: Покоління зв'язку (2G /3G/4G/5G)","2G, 3G, 4G, 5G","1"
"87","Дисплей: Тип дисплея","OLED","1"
"88","Дисплей: Діагональ екрану","6.1""","1"
"89","Дисплей: Роздільна здатність екрану","1179 х 2556","1"
"90","Дисплей: Частота оновлення екрану","60 Гц","1"
"91","Процесор: Процесор","Apple A16 Bionic","1"
"92","Процесор: Кількість ядер","6 core","1"
"93","Функції пам'яті: Вбудована пам'ять","128 Gb","1"
"94","Камера: Кількість модулів основної камери","2","1"
"95","Камера: Основна камера","48 + 12 Mpx","1"
"96","Камера: Діафрагма основної камери","f/1.6 + f/2.4","1"
"97","Камера: Метод стабілізації","оптична","1"
"98","Камера: Запис відео основної камери","4K / 3840x2160 / стереозвук","1"
"99","Камера: Кількість модулів фронтальної камери","1","1"
"100","Камера: Фронтальна камера","12 Mpx","1"
"101","Камера: Діафрагма фронтальної камери","f/1.9","1"
"102","Камера: Функції камери","панорама, розпізнавання обличчя, геотегінг, спалах, автофокус","1"
"103","Програмне забезпечення: Операційна система","iOS 17","1"
"104","Програмне забезпечення: Мультимедіа","FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр, ігри","1"
"105","Програмне забезпечення: Органайзер","калькулятор, телефонна книга, диктофон, секундомір, нотатки, будильник, світовий час, годинник, календар","1"
"106","Бездротові технології: Бездротові підключення","Bluetooth, WI-FI, NFC","1"
"107","Бездротові технології: Навігація","BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS","1"
"108","Інтерфейси: Інтерфейси і підключення","USB Type-C","1"
"109","Додатково: Особливості","IP68 certified","1"
"110","Додатково: Вбудовані датчики","акселерометр, компас, датчик освітлення, датчик наближення, гіроскоп, барометр","1"
"111","Додатково: Безпека","FaceID","1"
"112","Додатково: Оснащення","пило/вологозахист, гіроскоп, бездротове заряджання","1"
"113","Фізичні характеристики: Розміри (мм)","147.6 x 71.6 x 7.80 мм","1"
"114","Фізичні характеристики: Стан товару","Новий","1"
"115","Фізичні характеристики: Вага","171 г","1"
"116","Фізичні характеристики: Колір","чорний","1"
"117","Фізичні характеристики: Особливості корпусу","водонепроникні","1"
"118","Інші: Виробник","Apple","1"
"119","Інші: Модель","iPhone 15 128GB Black","1"
"120","Інші: Артикул","MTP03","1"
"121","Інші: Гарантія, міс","12","1"
"122","Інші: Штрихкод","195949036019","1"
"123","Інші: Примітка","Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження","1"
