"id","key","value","product_id"
"1","Основні характеристики: Форм-фактор","моноблок","1"
"2","Дисплей: Тип дисплея","OLED (Super Retina XDR)","1"
"3","Процесор: Процесор","Apple A18 Pro","1"
"4","Функції пам'яті: Вбудована пам'ять","256 Gb","1"
"5","Камера: Кількість модулів основної камери","3","1"
"6","Програмне забезпечення: Операційна система","iOS 18","1"
"7","Бездротові технології: Бездротові підключення","Bluetooth,                                 WI-FI,                                 NFC","1"
"8","Інтерфейси: Інтерфейси і підключення","USB Type-C","1"
"9","Додатково: Особливості","IP68 certified","1"
"10","Фізичні характеристики: Матеріал корпуса","титан,                                 алюміній","1"
"11","Інші: Виробник","Apple","1"
