"id","key","value","product_id"
"99","Основні характеристики: Форм-фактор","моноблок","1"
"100","Основні характеристики: Кількість SIM-карт","1 SIM + e-sim","1"
"101","Основні характеристики: Формат SIM-карти","e-sim, Nano","1"
"102","Основні характеристики: Покоління зв'язку (2G /3G/4G/5G)","2G, 3G, 4G, 5G","1"
"103","Дисплей: Тип дисплея","OLED","1"
"104","Дисплей: Діагональ екрану","6.1""","1"
"105","Дисплей: Роздільна здатність екрану","1179 х 2556","1"
"106","Дисплей: Частота оновлення екрану","60 Гц","1"
"107","Процесор: Процесор","Apple A16 Bionic","1"
"108","Процесор: Кількість ядер","6 core","1"
"109","Функції пам'яті: Вбудована пам'ять","128 Gb","1"
"110","Камера: Кількість модулів основної камери","2","1"
"111","Камера: Основна камера","48 + 12 Mpx","1"
"112","Камера: Діафрагма основної камери","f/1.6 + f/2.4","1"
"113","Камера: Метод стабілізації","оптична","1"
"114","Камера: Запис відео основної камери","4K / 3840x2160 / стереозвук","1"
"115","Камера: Кількість модулів фронтальної камери","1","1"
"116","Камера: Фронтальна камера","12 Mpx","1"
"117","Камера: Діафрагма фронтальної камери","f/1.9","1"
"118","Камера: Функції камери","панорама, розпізнавання обличчя, геотегінг, спалах, автофокус","1"
"119","Програмне забезпечення: Операційна система","iOS 17","1"
"120","Програмне забезпечення: Мультимедіа","FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр, ігри","1"
"121","Програмне забезпечення: Органайзер","калькулятор, телефонна книга, диктофон, секундомір, нотатки, будильник, світовий час, годинник, календар","1"
"122","Бездротові технології: Бездротові підключення","Bluetooth, WI-FI, NFC","1"
"123","Бездротові технології: Навігація","BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS","1"
"124","Інтерфейси: Інтерфейси і підключення","USB Type-C","1"
"125","Додатково: Особливості","IP68 certified","1"
"126","Додатково: Вбудовані датчики","акселерометр, компас, датчик освітлення, датчик наближення, гіроскоп, барометр","1"
"127","Додатково: Безпека","FaceID","1"
"128","Додатково: Оснащення","пило/вологозахист, гіроскоп, бездротове заряджання","1"
"129","Фізичні характеристики: Розміри (мм)","147.6 x 71.6 x 7.80 мм","1"
"130","Фізичні характеристики: Стан товару","Новий","1"
"131","Фізичні характеристики: Вага","171 г","1"
"132","Фізичні характеристики: Колір","чорний","1"
"133","Фізичні характеристики: Особливості корпусу","водонепроникні","1"
"134","Інші: Виробник","Apple","1"
"135","Інші: Модель","iPhone 15 128GB Black","1"
"136","Інші: Артикул","MTP03","1"
"137","Інші: Гарантія, міс","12","1"
"138","Інші: Штрихкод","195949036019","1"
"139","Інші: Примітка","Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження","1"
